Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Y:\MS-data\2025\Jesus\dox\A1_20250325224911.mzML	Y:\MS-data\2025\Jesus\dox\A2.mzML	Y:\MS-data\2025\Jesus\dox\A3.mzML	Y:\MS-data\2025\Jesus\dox\A4.mzML	Y:\MS-data\2025\Jesus\dox\A5.mzML	Y:\MS-data\2025\Jesus\dox\B1.mzML	Y:\MS-data\2025\Jesus\dox\B2.mzML	Y:\MS-data\2025\Jesus\dox\B3.mzML	Y:\MS-data\2025\Jesus\dox\B4.mzML	Y:\MS-data\2025\Jesus\dox\B5.mzML	Y:\MS-data\2025\Jesus\dox\C1.mzML	Y:\MS-data\2025\Jesus\dox\C2.mzML	Y:\MS-data\2025\Jesus\dox\C3.mzML	Y:\MS-data\2025\Jesus\dox\C4.mzML	Y:\MS-data\2025\Jesus\dox\C5.mzML	Y:\MS-data\2025\Jesus\dox\D1.mzML	Y:\MS-data\2025\Jesus\dox\D2.mzML	Y:\MS-data\2025\Jesus\dox\D3.mzML	Y:\MS-data\2025\Jesus\dox\D4.mzML	Y:\MS-data\2025\Jesus\dox\D5.mzML	Y:\MS-data\2025\Jesus\dox\E1.mzML	Y:\MS-data\2025\Jesus\dox\E2.mzML	Y:\MS-data\2025\Jesus\dox\E3.mzML	Y:\MS-data\2025\Jesus\dox\E5.mzML	Y:\MS-data\2025\Jesus\dox\F1_20250325184234.mzML	Y:\MS-data\2025\Jesus\dox\F2.mzML	Y:\MS-data\2025\Jesus\dox\F3.mzML	Y:\MS-data\2025\Jesus\dox\F4.mzML	Y:\MS-data\2025\Jesus\dox\F5.mzML	Y:\MS-data\2025\Jesus\dox\G1.mzML	Y:\MS-data\2025\Jesus\dox\G2.mzML	Y:\MS-data\2025\Jesus\dox\G3.mzML	Y:\MS-data\2025\Jesus\dox\G4.mzML	Y:\MS-data\2025\Jesus\dox\G5.mzML	Y:\MS-data\2025\Jesus\dox\H1.mzML	Y:\MS-data\2025\Jesus\dox\H2.mzML	Y:\MS-data\2025\Jesus\dox\H3.mzML	Y:\MS-data\2025\Jesus\dox\H4.mzML	Y:\MS-data\2025\Jesus\dox\H5.mzML
A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1	1	300876	271631	376113	540274	351296	317962	290102	281447	341017	217988	356862	397394	341349		226578	316228	234590	290523	411756	210853	312757	250205	217106	259990	237644	176160	266965		81706.4	210496	227153	153160	284194	170457	175533	202248	240977	199635	218914
A0A087WUL8;P0DPF2;P0DPF3;Q3BBV0;Q3BBV2;Q6P3W6	NBPF1_HUMAN;NBPF8_HUMAN;NBPF9_HUMAN;NBPFA_HUMAN;NBPFJ_HUMAN;NBPFK_HUMAN	NBPF1;NBPF10;NBPF19;NBPF20;NBPF8;NBPF9	Neuroblastoma breakpoint family member 19	1	0	633.767	4427.68	1251.69		2640.96	3750.39		2113	1272.35				3272.69		2282.26	2222.28	3136.34		4338.69	3035.11					900.257		2627.36				3350.62			571.832		4078.99	2827.11	3619.25	
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	13	0	1.13324e+07	1.44067e+07	1.00825e+07	1.58492e+07	1.06839e+07	1.04563e+07	1.16582e+07	1.10832e+07	1.08731e+07	1.16974e+07	1.28603e+07	1.15948e+07	1.16654e+07	1.4575e+07	1.12952e+07	1.33493e+07	1.10668e+07	1.19798e+07	1.05171e+07	1.33536e+07	1.3879e+07	1.30867e+07	1.34067e+07	1.394e+07	1.38498e+07	1.36185e+07	1.34851e+07	1.01359e+07	1.55368e+07	1.32917e+07	1.21342e+07	1.26311e+07	1.48344e+07	1.41936e+07	1.35178e+07	1.36482e+07	1.45317e+07	1.60957e+07	1.57961e+07
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	139460	194791	108791		178367	150447			210616	245852	176681	154714	198438		179662		146666	284583	263455	209797	187443	219506	401653	417341	296463		459071	624483	239032	137284	230486	225479	289233	394292	208255	381987	320989	348923	281545
A0A0U1RQS6	TM275_HUMAN	TMEM275	Transmembrane protein 275	2	2												3881.15											11772.3	14665.3		8757.27				16772.4	14457.8		23313.9	13370.9				14047.2	20005.7
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	3	3	1.22126e+06	1.9425e+06	787648	1.10136e+06	1.16202e+06	1.10244e+06	1.40144e+06	1.35643e+06	1.08431e+06	981020	1.49914e+06	1.3622e+06	1.64837e+06	2.58764e+06	1.04014e+06	1.47439e+06	1.62753e+06	1.59072e+06	1.47353e+06	1.9011e+06	2.51497e+06	2.395e+06	2.35054e+06	1.70739e+06	1.91328e+06	1.80547e+06	1.91578e+06	2.10331e+06	1.44503e+06	1.78675e+06	1.80515e+06	2.06794e+06	1.96811e+06	2.13127e+06	1.83361e+06	2.01199e+06	1.99691e+06	1.65329e+06	1.7694e+06
A0A0U1RRI6	CENL3_HUMAN	CENPVL3	Centromere protein V-like protein 3	5	1	3.16853e+06	2.60444e+06	1.80906e+06	1.12021e+06	1.96797e+06	2.94256e+06	3.40628e+06	1.82159e+06	1.86893e+06	1.99672e+06	3.0119e+06	2.63784e+06	3.00032e+06		1.38683e+06	2.66893e+06	2.25365e+06	2.26493e+06	1.99174e+06	2.15356e+06	2.17438e+06	2.7639e+06	1.51523e+06	2.2079e+06	1.29765e+06	1.75592e+06	1.05689e+06		1.0061e+06	1.6591e+06	2.21059e+06	1.68352e+06	1.4472e+06	957995	2.24542e+06	1.92342e+06	1.86895e+06	1.31159e+06	1.19143e+06
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1				4926.87																							3397.43												
A0A1B0GUJ8	PNM8C_HUMAN	PNMA8C	Paraneoplastic antigen-like protein 8C	3	3	643608	1.64015e+06	874026	734502	1.18726e+06	888125	906040	910772	907007	771090	813209	913335	800220		766036	1.05911e+06	1.13912e+06	1.14484e+06	962301	823154	1.5484e+06	1.53977e+06	986957	1.29836e+06	822078	1.24283e+06	1.15136e+06			1.51699e+06	1.41878e+06	1.41498e+06	1.12134e+06	1.01259e+06	827155	1.30422e+06	1.05208e+06	1.84458e+06	1.16704e+06
A0A1W2PQ72	MSD7_HUMAN	MSANTD7	Myb/SANT-like DNA-binding domain-containing protein 7	4	4	12912.6	5931.63	11397.1		13893.9	15875.8	19085.4	12628.5	13405.2	17643.1	18797.1	18695.8	23915.4		18112.8	12957.6	16956.7	15990.1	23740.9	18230.5	16942.5	18089.3	10195	9400.82	11390.5	22617.2	9556.22		9248.05	21386.8	17473.1	16440.5	15438	14160	21694.6	14606	16834.4	11225.7	17162
A0A2Z4LIS9	FXO3B_HUMAN	FOXO3B	Forkhead box protein O3B	2	1	84273.2	161212	72002.9		126926	99997.3	122721	92868.5	115634	68448.2	105630	107436	122422		119365	133484	109675	153939	109850	133507	72586.2	106086	74717.2	153649	65989.8	51821.9	97707.9		101805	94056.2	81260.8	101556	105853	94008.2	64315.6	72927.7	92984.6	120802	96030.6
A0A3B3IRV3	MCTS2_HUMAN	MCTS2	Malignant T-cell-amplified sequence 2	2	2		141612	86808.4		104593	95170.1	105240	86698.8	96092	80895.2	94945.6	108672	117926		120894		99038.5	116801	83450.9		157882	125243	69242.8		74862.4	112960	76465.7				95230.1	112259	86017	71934.9	42691.5	94166.1		119813	
A0A494C030	A0A494C030_HUMAN	LOC114841035	Uncharacterized protein	7	7	154740	179780	103636	135940	291201	200033	191598	185483	194200	143451	167092	128601	160170		231759	222589	165162	271457	279930	219041	324792	348611	322574	321549	360649	256357	319496	226962	152906	279971	281199	295692	405630	414933	394139	317534	315162	494146	336614
A0A590UJ96	A0A590UJ96_HUMAN	LOC122526780	Uncharacterized protein	5	5	197875	237094	141695	123630	152985	230047	232380	145984	164248	157640	235008	198945	268747		145573	194013	199315	209279		113968	343889	333705	150005	151266	105821	209865	168085		116747	296341	261423	354035		128102	277734		289769	126624	61115.8
A0A7I2V3R4	RN228_HUMAN	RNF228	RING finger protein 228	1	1						296841			400735								386847								846264		703414		395256	401275		547675	292737	456722	461020	597173	343373	620127	
A0A8I5KY20	CC92B_HUMAN	CCDC92B	Coiled-coil domain-containing 92B	4	4	109235				186890	202485	166392	119514	171067		174851	153602	186434		129209	200776	205307	181953	186786	134598	294528	368214	283247	219855	427121	347657	311422	652108		340677	265271	355513	421915	303732	391324	326598	365892	331426	288967
A0A994J5G1	A0A994J5G1_HUMAN	TUBA3FP	Tubulin alpha 3f pseudogene	4	4		33438	17156.6	20145.7	19673.2	20345.5	19113	29315.5	32302.8	22230.2	37103.4	19577.4	19432.7		24697.2	27127.1	21301.3	25294.6	21985	25897.4	53571.6	40708.1	34960	51656.3	28773.2	31460.7	29308.2		42158.4	41524.7	28499.7	47669.3	22738.7	41652.7	28619.3	47131.3	45465.1	57042.7	42216.6
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	5	5	3179.13	2371.92	4278.22	3703.45						5506.65		4046.39			2260.36																								
A0AVF1	IFT56_HUMAN	IFT56	Intraflagellar transport protein 56	5	5	42255.2	44784	57769		32989.4	60877.2	59135	45611.8	61150.4	60715.2	57328.6	61806.9	62104.7		64517.7	31943	31041.2	41107.3	42086.8	38561.5	38090.6	35648.7	38090		32058.8	34132.5	36042.5		44182.1	41307.5	44344.5	33580.5	30118.3	32582.7	29886.3	25834.7	20384.6		32976
A0AVI4	TM129_HUMAN	TMEM129	E3 ubiquitin-protein ligase TM129	2	2	99751		75299.8		59343.2	61404.1	67360.4	99731	52804.9	92623.4	77751.9	62883.6	67354.8		85411.1	54228.7	65905.3	56428.8	78735.4	98480.7		36964.3							46047.2										
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	42	42	5.89678e+06	6.01072e+06	4.99679e+06	5.02102e+06	5.65631e+06	5.58258e+06	5.55573e+06	5.65277e+06	5.69828e+06	5.24392e+06	6.11626e+06	5.71845e+06	6.06175e+06	5.30733e+06	5.96781e+06	5.85057e+06	5.71236e+06	5.72059e+06	5.57896e+06	5.64136e+06	5.73457e+06	6.07472e+06	5.38081e+06	5.788e+06	5.73393e+06	5.56241e+06	5.24815e+06	6.88229e+06	5.454e+06	5.4245e+06	5.51122e+06	5.17032e+06	5.44019e+06	5.07156e+06	5.40821e+06	5.36149e+06	5.56861e+06	4.74164e+06	5.55223e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	24	24	1.16265e+06	1.30473e+06	1.02758e+06	930735	1.61989e+06	1.2718e+06	1.37767e+06	1.37824e+06	1.44369e+06	1.2817e+06	1.18165e+06	1.25784e+06	1.3757e+06		1.34196e+06	1.50755e+06	1.68759e+06	1.63518e+06	1.41758e+06	1.4357e+06	1.83243e+06	2.09641e+06	1.79948e+06	1.60453e+06	2.04169e+06	2.23767e+06	2.02427e+06	1.30176e+06	1.35375e+06	2.06183e+06	2.04956e+06	1.76707e+06	1.84142e+06	1.79475e+06	2.09633e+06	2.0962e+06	1.98468e+06	1.88263e+06	1.92568e+06
A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	2	2									15854.2	6165.26					8682.7																								
A0JNW5	BLT3B_HUMAN	BLTP3B	Bridge-like lipid transfer protein family member 3B	36	34	1.89354e+06	1.85947e+06	1.53421e+06	1.68247e+06	2.42529e+06	2.25217e+06	2.35606e+06	2.20022e+06	2.40549e+06	1.95183e+06	2.5102e+06	2.0477e+06	2.25119e+06		2.19498e+06	2.48322e+06	2.4564e+06	2.4126e+06	2.04548e+06	2.27962e+06	2.20236e+06	2.24435e+06	2.50779e+06	2.35121e+06	2.14588e+06	2.42076e+06	2.42402e+06	2.14065e+06	2.02528e+06	2.42718e+06	2.2851e+06	2.13483e+06	2.42562e+06	2.4777e+06	2.35652e+06	2.22706e+06	2.20778e+06	3.26552e+06	2.16438e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	38	38	2.32384e+07	3.02705e+07	1.61502e+07	1.98186e+07	3.66576e+07	3.12191e+07	3.1758e+07	3.36899e+07	3.04318e+07	2.31735e+07	3.43708e+07	3.20808e+07	3.58149e+07	4.12071e+07	3.33665e+07	3.64534e+07	3.47867e+07	3.37726e+07	3.69707e+07	3.7475e+07	4.57535e+07	5.00597e+07	4.45357e+07	4.59342e+07	4.34848e+07	4.49354e+07	4.02439e+07	7.78261e+07	4.16749e+07	4.43922e+07	4.24339e+07	4.22854e+07	4.60743e+07	4.3288e+07	4.57924e+07	4.53723e+07	4.79681e+07	4.43461e+07	4.66836e+07
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	4	4	499155	367546	401942	477337	285598	383359	294552	391665	322927	285426	404731	313905	243769		328213	383382	316693	240842	298788	330985	199636	365643	248763	210027	306397	269378	316629			305498	325489	269246	280694	335940	224897	281707	339973	380978	251341
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2	2	57844.3	151640	131018	87948.4	105027	124310	143620	94866.2	112900	104253	106403	78495.8	141596		119351	120954	95052.2	127372	98155.1	71336.8	183593	205853	83303.9	67350.4	146625	179525	186343		97743.1	181488	218399	183859	147608	106299	165845	165757	205525	192894	131380
A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	4	4	6301.06		9208.96		10394.8	9221.7	9759.85	10308.2	7390.04	8588.77	7316.99	12128.8	9829			9232.74	12036.8	10783.2	9124.74	8867.7		8764.53				5883.37				12021.8							7388.76		
