From	To
A0A024R1R8	TMA7B
A0AVT1	UBA6
A6NDG6	PGP
A8MWD9	SNRPGP15
E9PAV3	NACA
O00116	AGPS
O00148	DDX39A
O00151	PDLIM1
O00154	ACOT7
O00170	AIP
O00178	GTPBP1
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00244	ATOX1
O00264	PGRMC1
O00299	CLIC1
O00303	EIF3F
O00410	IPO5
O00422	SAP18
O00425	IGF2BP3
O00483	NDUFA4
O00487	PSMD14
O00505	KPNA3
O00541	PES1
O00567	NOP56
O00571	DDX3X
O00592	PODXL
O00629	KPNA4
O00767	SCD
O14579	COPE
O14602	EIF1AY
O14737	PDCD5
O14744	PRMT5
O14745	NHERF1
O14773	TPP1
O14776	TCERG1
O14818	PSMA7
O14880	MGST3
O14907	TAX1BP3
O14929	HAT1
O14950	MYL12B
O14979	HNRNPDL
O14980	XPO1
O15067	PFAS
O15131	KPNA5
O15144	ARPC2
O15145	ARPC3
O15160	POLR1C
O15173	PGRMC2
O15212	PFDN6
O15269	SPTLC1
O15305	PMM2
O15347	HMGB3
O15355	PPM1G
O15371	EIF3D
O15372	EIF3H
O15498	YKT6
O43143	DHX15
O43169	CYB5B
O43172	PRPF4
O43175	PHGDH
O43237	DYNC1LI2
O43242	PSMD3
O43264	ZW10
O43290	SART1
O43324	EEF1E1
O43390	HNRNPR
O43396	TXNL1
O43399	TPD52L2
O43491	EPB41L2
O43592	XPOT
O43598	DNPH1
O43615	TIMM44
O43617	TRAPPC3
O43670	ZNF207
O43681	GET3
O43684	BUB3
O43707	ACTN4
O43708	GSTZ1
O43719	HTATSF1
O43747	AP1G1
O43765	SGTA
O43768	ENSA
O43776	NARS1
O43809	NUDT21
O43837	IDH3B
O43847	NRDC
O43852	CALU
O43865	AHCYL1
O43929	ORC4
O60231	DHX16
O60256	PRPSAP2
O60264	SMARCA5
O60488	ACSL4
O60502	OGA
O60506	SYNCRIP
O60664	PLIN3
O60701	UGDH
O60716	CTNND1
O60739	EIF1B
O60749	SNX2
O60763	USO1
O60814	H2BC12
O60832	DKC1
O60841	EIF5B
O60869	EDF1
O60884	DNAJA2
O60925	PFDN1
O75083	WDR1
O75131	CPNE3
O75223	GGCT
O75340	PDCD6
O75347	TBCA
O75352	MPDU1
O75368	SH3BGRL
O75369	FLNB
O75390	CS
O75439	PMPCB
O75475	PSIP1
O75477	ERLIN1
O75489	NDUFS3
O75494	SRSF10
O75531	BANF1
O75533	SF3B1
O75534	CSDE1
O75607	NPM3
O75608	LYPLA1
O75643	SNRNP200
O75663	TIPRL
O75694	NUP155
O75821	EIF3G
O75822	EIF3J
O75844	ZMPSTE24
O75874	IDH1
O75934	BCAS2
O75937	DNAJC8
O75947	ATP5PD
O75964	ATP5MG
O76003	GLRX3
O76021	RSL1D1
O76094	SRP72
O94776	MTA2
O94826	TOMM70
O94905	ERLIN2
O94906	PRPF6
O94925	GLS
O95071	UBR5
O95197	RTN3
O95218	ZRANB2
O95232	LUC7L3
O95299	NDUFA10
O95336	PGLS
O95347	SMC2
O95373	IPO7
O95394	PGM3
O95433	AHSA1
O95456	PSMG1
O95573	ACSL3
O95747	OXSR1
O95777	LSM8
O95816	BAG2
O95825	CRYZL1
O95831	AIFM1
O95881	TXNDC12
O95983	MBD3
O96000	NDUFB10
O96008	TOMM40
O96019	ACTL6A
P00338	LDHA
P00367	GLUD1
P00387	CYB5R3
P00390	GSR
P00403	MT-CO2
P00491	PNP
P00492	HPRT1
P00505	GOT2
P00558	PGK1
P00568	AK1
P00846	MT-ATP6
P02545	LMNA
P02647	APOA1
P02769	ALB
P04075	ALDOA
P04080	CSTB
P04083	ANXA1
P04181	OAT
P04264	KRT1
P04406	GAPDH
P04439	HLA-A
P04632	CAPNS1
P04792	HSPB1
P04843	RPN1
P04844	RPN2
P04899	GNAI2
P04908	H2AC4
P04908	H2AC8
P05023	ATP1A1
P05026	ATP1B1
P05114	HMGN1
P05141	SLC25A5
P05161	ISG15
P05198	EIF2S1
P05386	RPLP1
P05387	RPLP2
P05388	RPLP0
P05455	SSB
P05556	ITGB1
P05783	KRT18
P05787	KRT8
P05937	CALB1
P06132	UROD
P06454	PTMA
P06493	CDK1
P06576	ATP5F1B
P06703	S100A6
P06730	EIF4E
P06733	ENO1
P06737	PYGL
